radius_nm,amplitude,phase_rad
69.6897,0.945016,2.94176
69.7598,0.944842,2.94712
69.8298,0.944667,2.95249
69.8999,0.944493,2.95787
69.97,0.944319,2.96323
70.04,0.944146,2.96858
70.1101,0.943973,2.97396
70.1802,0.943799,2.97933
70.2503,0.943627,2.98469
70.3203,0.943454,2.99006
70.3904,0.943283,2.9954
70.4605,0.943111,3.00074
70.5305,0.942939,3.00609
70.6006,0.942768,3.01146
70.6707,0.942597,3.01679
70.7407,0.942427,3.02213
70.8108,0.942256,3.02747
70.8809,0.942086,3.03281
70.951,0.941916,3.03815
71.021,0.941746,3.04347
71.0911,0.941577,3.04879
71.1612,0.941409,3.0541
71.2312,0.941239,3.05944
71.3013,0.941067,3.06489
71.3714,0.940898,3.07022
71.4414,0.940725,3.07569
71.5115,0.940554,3.08114
71.5816,0.940382,3.0866
71.6517,0.940211,3.09204
71.7217,0.940036,3.0976
71.7918,0.939862,3.10316
71.8619,0.939689,3.1087
71.9319,0.939516,3.11423
72.002,0.939343,3.11975
72.0721,0.93917,3.1253
72.1421,0.938997,3.13086
72.2122,0.938822,3.1365
72.2823,0.938646,-3.14104
72.3524,0.938472,-3.13542
72.4224,0.938298,-3.1298
72.4925,0.938123,-3.12415
72.5626,0.937948,-3.11851
72.6326,0.937774,-3.11287
72.7027,0.937601,-3.10724
72.7728,0.937427,-3.10162
72.8428,0.937254,-3.09598
72.9129,0.937079,-3.09029
72.983,0.936904,-3.08459
73.0531,0.93673,-3.07892
73.1231,0.936556,-3.07326
73.1932,0.936382,-3.06759
73.2633,0.936209,-3.06194
73.3333,0.936036,-3.05628
73.4034,0.935864,-3.05064
73.4735,0.935692,-3.045
73.5435,0.93552,-3.03938
73.6136,0.935349,-3.03375
73.6837,0.935178,-3.02814
73.7538,0.935006,-3.02248
73.8238,0.934834,-3.01683
73.8939,0.934663,-3.01119
73.964,0.934491,-3.00553
74.034,0.934319,-2.99986
74.1041,0.934147,-2.99418
74.1742,0.933975,-2.98851
74.2442,0.933803,-2.98285
74.3143,0.933632,-2.97718
74.3844,0.93346,-2.97151
74.4545,0.933289,-2.96585
74.5245,0.933117,-2.96017
74.5946,0.932946,-2.95449
74.6647,0.932774,-2.94881
74.7347,0.932603,-2.94313
74.8048,0.932431,-2.93744
74.8749,0.93226,-2.93176
74.9449,0.932088,-2.92607
75.015,0.931916,-2.92038
75.0851,0.931742,-2.9146
75.1552,0.931567,-2.90875
75.2252,0.931391,-2.90288
75.2953,0.931215,-2.89702
75.3654,0.93104,-2.89115
75.4354,0.930862,-2.88521
75.5055,0.930685,-2.87926
75.5756,0.930506,-2.87328
75.6456,0.930329,-2.8673
75.7157,0.930151,-2.86133
75.7858,0.929973,-2.85537
75.8559,0.929796,-2.84938
75.9259,0.929617,-2.84334
75.996,0.929436,-2.83726
76.0661,0.929256,-2.83117
76.1361,0.929076,-2.82508
76.2062,0.928896,-2.819
76.2763,0.928716,-2.81292
76.3463,0.928537,-2.80685
76.4164,0.928357,-2.80077
76.4865,0.928178,-2.79469
76.5566,0.927997,-2.78858
76.6266,0.927817,-2.78246
76.6967,0.927637,-2.77635
76.7668,0.927458,-2.77025
76.8368,0.927278,-2.76414
76.9069,0.927098,-2.75804
76.977,0.926919,-2.75194
77.047,0.926739,-2.74581
77.1171,0.926559,-2.73969
77.1872,0.92638,-2.73358
77.2573,0.9262,-2.72745
77.3273,0.926019,-2.7213
77.3974,0.925836,-2.71506
77.4675,0.925653,-2.70883
77.5375,0.925471,-2.70261
77.6076,0.925288,-2.69639
77.6777,0.925106,-2.69017
77.7477,0.924924,-2.68395
77.8178,0.924742,-2.67775
77.8879,0.92456,-2.67154
77.958,0.924378,-2.66535
78.028,0.924197,-2.65916
78.0981,0.924015,-2.65293
78.1682,0.923833,-2.64672
78.2382,0.923651,-2.64052
78.3083,0.923469,-2.63432
78.3784,0.923287,-2.62808
78.4484,0.923104,-2.62185
78.5185,0.922922,-2.61563
78.5886,0.92274,-2.60941
78.6587,0.922558,-2.60319
78.7287,0.922376,-2.59698
78.7988,0.922193,-2.59072
78.8689,0.922008,-2.58439
78.9389,0.921821,-2.57796
79.009,0.921635,-2.57155
79.0791,0.921449,-2.56514
79.1491,0.921262,-2.55866
79.2192,0.921072,-2.55211
79.2893,0.920883,-2.54558
79.3594,0.920695,-2.53904
79.4294,0.920506,-2.5325
79.4995,0.920318,-2.52596
79.5696,0.920128,-2.51936
79.6396,0.919937,-2.51271
79.7097,0.919745,-2.50606
79.7798,0.919554,-2.49939
79.8498,0.919362,-2.4927
79.9199,0.919171,-2.48604
79.99,0.918979,-2.47936
80.0601,0.918788,-2.4727
80.1301,0.918597,-2.46602
80.2002,0.918406,-2.45933
80.2703,0.918213,-2.45261
80.3403,0.918021,-2.44587
80.4104,0.917828,-2.43914
80.4805,0.917636,-2.4324
80.5506,0.917444,-2.42567
80.6206,0.917251,-2.41892
80.6907,0.917059,-2.41217
80.7608,0.916866,-2.40542
80.8308,0.916674,-2.39868
80.9009,0.916481,-2.39192
80.971,0.916289,-2.38516
81.041,0.916096,-2.37837
81.1111,0.915903,-2.37157
81.1812,0.91571,-2.36479
81.2513,0.915516,-2.35797
81.3213,0.915323,-2.35118
81.3914,0.915131,-2.3444
81.4615,0.914938,-2.33761
81.5315,0.914746,-2.33084
81.6016,0.914554,-2.32408
81.6717,0.914363,-2.31732
81.7417,0.914171,-2.31056
81.8118,0.91398,-2.30381
81.8819,0.91379,-2.29708
81.952,0.913599,-2.29032
82.022,0.913408,-2.28356
82.0921,0.913218,-2.27682
82.1622,0.913027,-2.27008
82.2322,0.912837,-2.26334
82.3023,0.912646,-2.25656
82.3724,0.912455,-2.24977
82.4424,0.912264,-2.24297
82.5125,0.912072,-2.23616
82.5826,0.91188,-2.22931
82.6527,0.911685,-2.22231
82.7227,0.911491,-2.21532
82.7928,0.911297,-2.20835
82.8629,0.911104,-2.20136
82.9329,0.910908,-2.19428
83.003,0.910713,-2.18722
83.0731,0.910518,-2.18012
83.1431,0.910324,-2.17304
83.2132,0.910129,-2.16595
83.2833,0.909936,-2.15887
83.3534,0.90974,-2.1517
83.4234,0.909545,-2.14454
83.4935,0.90935,-2.13739
83.5636,0.909156,-2.13025
83.6336,0.908963,-2.12312
83.7037,0.90877,-2.11599
83.7738,0.908577,-2.10887
83.8438,0.908386,-2.10177
83.9139,0.908193,-2.09459
83.984,0.908,-2.08742
84.0541,0.907808,-2.08025
84.1241,0.907617,-2.0731
84.1942,0.907426,-2.06597
84.2643,0.907236,-2.05883
84.3343,0.907046,-2.05167
84.4044,0.906855,-2.04449
84.4745,0.906666,-2.03735
84.5445,0.906477,-2.0302
